UserAgent,Page Views
BBCNews/3.4.1.2 CFNetwork/758.2.8 Darwin/15.0.0,"69,157"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G920P Build/MMB29K),"68,531"
Dalvik/2.1.0 (Linux; U; Android 6.0; HUAWEI VNS-L31 Build/HUAWEIVNS-L31),"68,422"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SAMSUNG-SM-G930A Build/MMB29M),"68,389"
Dalvik/2.1.0 (Linux; U; Android 6.0; LG-D855 Build/MRA58K),"68,080"
BBCBeacon/0.74b (SM-T310; Android 4.4.2) news/2.5.5 UK,"67,994"
Dalvik/2.1.0 (Linux; U; Android 5.0; ASUS_Z00AD Build/LRX21V),"67,993"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; C6903 Build/14.6.A.1.236),"67,587"
BBCBeacon/3.5 (iPhone; iPhone OS 9.3.4) BBCNews/2.1.4,"67,159"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-J100H Build/KTU84P),"66,978"
BBCNews/3.4.1.2 CFNetwork/711.1.16 Darwin/14.0.0,"66,295"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Nexus 10 Build/LMY49J),"65,426"
BBCBeacon/0.74b (Hudl HT7S3; Android 4.2.2) news/2.5.5 UK,"64,596"
BBCNews/3.4.1.2 CFNetwork/711.5.6 Darwin/14.0.0,"64,406"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N920I Build/MMB29K),"63,982"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G930T Build/MMB29M),"63,975"
BBCBeacon/0.74b (KFJWI; Android 4.0.4) news/2.2,"63,814"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Wileyfox Swift Build/MHC19Q),"63,601"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; HTC One A9 Build/MMB29M),"63,171"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G930W8 Build/MMB29K),"63,145"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; GT-I9500 Build/LRX22C),"62,999"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; HTC Desire 610 Build/KOT49H),"62,904"
BBCNews/3.7.1.8 CFNetwork/711.2.23 Darwin/14.0.0,"62,211"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G900P Build/MMB29M),"61,814"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; D6603 Build/23.5.A.0.575),"60,444"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N930F Build/MMB29K),"58,907"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; HTC Desire 620 Build/KTU84P),"58,616"
BBCNews/3.7.1.8 CFNetwork/672.1.14 Darwin/14.0.0,"58,513"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; HTC One_M8 Build/LRX22C),"57,842"
Dalvik/2.1.0 (Linux; U; Android 7.0; Nexus 9 Build/NRD90M),"56,640"
BBCBeacon/3.5 (iPad; iPhone OS 9.3.4) BBCNews/2.1.4,"56,574"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G935T Build/MMB29M),"56,486"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SAMSUNG-SM-G935A Build/MMB29M),"56,183"
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-N8010 Build/JZO54K),"55,998"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SAMSUNG-SM-G900A Build/MMB29M),"55,994"
BBCBeacon/0.74b (GT-I8190N; Android 4.1.2) news/2.5.5 UK,"55,032"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-S7275R Build/JDQ39),"54,838"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-P3110 Build/JDQ39),"54,566"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; MotoG3 Build/MPI24.107-55),"54,404"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N910G Build/MMB29M),"54,300"
Dalvik/2.1.0 (Linux; U; Android 5.0; SM-G900I Build/LRX21T),"53,559"
BBCNews/3.6.2.6 CFNetwork/758.2.8 Darwin/15.0.0,"53,460"
BBCBeacon/3.5 (iPhone; iPhone OS 7.1.2) BBCNews/2.1.4,"52,746"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; XT1080 Build/SU6-7.7),"52,742"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; C6603 Build/10.7.A.0.228),"51,377"
BBCBeacon/0.74b (KFTHWI; Android 4.4.3) news/2.2,"50,502"
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I9100 Build/JZO54K),"49,741"
BBCBeacon/0.74b (KFAPWI; Android 4.4.3) news/2.5.3 UK,"49,606"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SAMSUNG-SM-G890A Build/MMB29K),"49,293"
BBCBeacon/3.5 (iPhone; iPhone OS 9.3.2) BBCNews/2.1.4,"49,073"
BBCNews/3.9.1.48 CFNetwork/711.1.16 Darwin/14.0.0,"48,883"
Dalvik/2.1.0 (Linux; U; Android 6.0; MotoG3 Build/MPI24.65-25),"48,738"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-P600 Build/LMY47X),"48,623"
Dalvik/2.1.0 (Linux; U; Android 5.0; LG-D855 Build/LRX21R.A1445947622),"48,217"
Dalvik/2.1.0 (Linux; U; Android 6.0; LG-H812 Build/MRA58K),"48,090"
BBCBeacon/0.74b (GT-I9300; Android 4.3) news/2.5.5 UK,"47,487"
BBCNews/3.6.0.149 CFNetwork/758.4.3 Darwin/15.5.0,"47,191"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-A510F Build/LMY47X),"47,012"
Dalvik/2.1.0 (Linux; U; Android 6.0; LG-D852 Build/MRA58K),"46,840"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G930P Build/MMB29M),"46,735"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; E6553 Build/32.2.A.0.253),"46,390"
BBCNews/3.7.1.8 CFNetwork/758.0.2 Darwin/15.0.0,"46,338"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; E2105 Build/24.0.A.5.14),"46,220"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-G800F Build/KOT49H),"45,683"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; VF-895N Build/LRX22G),"45,663"
Dalvik/2.1.0 (Linux; U; Android 6.0; VS985 4G Build/MRA58K),"45,456"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G920F Build/LMY47X),"45,363"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J510FN Build/MMB29M),"45,233"
BBCBeacon/0.74b (SM-T210; Android 4.4.2) news/2.5.5 UK,"44,833"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; HTC Desire 626 Build/MMB29M),"44,622"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Redmi Note 3 MIUI/V8.0.1.0.LHOMIDG),"44,417"
